manufacturer,antennaModel,standardModel,diameter_ft,diameter_m,gain_dBi,notes
GABRIEL,DRFB10-64CSE,DRFB1064CSE,10,3.05,44,Comsearch's Frequency Coordination Database
GABRIEL,DRFB10P-59,DRFB10P59,10,3.05,42.9,Comsearch's Frequency Coordination Database
GABRIEL,DRFB10W-5971,DRFB10W5971,10,3.05,43.6,Comsearch's Frequency Coordination Database
Gabriel Electronics,DRFB12-59CSE,DRFB1259CSE,12,3.66,44.2,http://hpwren.ucsd.edu/SCI-5.8GHz-link/rss-57.pdf
GABRIEL,DRFB12-64,DRFB1264,12,3.66,45.5,Comsearch's Frequency Coordination Database
GABRIEL,DRFB12-64A,DRFB1264A,12,3.66,45.5,Comsearch's Frequency Coordination Database
GABRIEL,DRFB12-64BSE,DRFB1264BSE,12,3.66,45.5,Comsearch's Frequency Coordination Database
,DRFB4-59ASE,DRFB459ASE,4,1.22,34.7,http://hpwren.ucsd.edu/SCI-5.8GHz-link/rss-57.pdf
GABRIEL,DRFB6-5968SE,DRFB65968SE,6,1.83,38.9,Comsearch's Frequency Coordination Database
RFS,DRFB6-5968SE,DRFB65968SE,6,1.83,38.9,Comsearch's Frequency Coordination Database
GABRIEL,DRFB6-5971SE,DRFB65971SE,6,1.83,39.6,Comsearch's Frequency Coordination Database
GABRIEL,DRFB6-59BSE,DRFB659BSE,6,1.83,39.1,Comsearch's Frequency Coordination Database
GABRIEL,DRFB6-59 CSE,DRFB659CSE,6,1.83,39.1,https://manualzz.com/doc/28600464/5.690---5.925-ghz-parabolic-antennas
GABRIEL,DRFB6-59CSE,DRFB659CSE,6,1.83,39.1,https://manualzz.com/doc/28600464/5.690---5.925-ghz-parabolic-antennas
GABRIEL,DRFB6-64,DRFB664,6,1.83,39.5,Comsearch's Frequency Coordination Database
GABRIEL,DRFB6-64A,DRFB664A,6,1.83,39.8,Comsearch's Frequency Coordination Database
GABRIEL,DRFB6-64ASE,DRFB664ASE,6,1.83,39.8,Comsearch's Frequency Coordination Database
<Grabiel Electronics>,<DRFB6-64BSE>,DRFB664BSE,6,1.83,40.1,https://red.uao.edu.co/bitstream/handle/10614/6230/T04236.pdf?sequence=1&isAllowed=y
GABRIEL,DRFB6 64BSE,DRFB664BSE,6,1.83,40.1,Comsearch's Frequency Coordination Database
